"shutdown_id";"comment"
217;Новосельдинская 7 утечка из-под земли д=100, без ХВС пос. Новосельдинский.
218;из п/з Д=400мм ул,Шолмова 9
219;замена труб в подъезде ж/д отключение ГВС и ХВС
220;п. Новосельдинский 7- утечка из кол-ца Д 100, без ХВС п. Новосельдинский -100 ч/д
221;"п. Новосельдинский 6-утечка из п/з Д=150; п. Новосельдинский 7-утечка из кол-ца Д=100 без ХВС п. Новосельдинский"
222;Лесная 15 утечка из колодца д=100, без ХВС Островского 11-23, Орлова 21, 21а, 23, 27, 27а, Корюкина16, 18, Гагарина 20, Лесная 12, 15.
223;Оренбургская, 32  утечка из кол-ца, Д=100. Без ХВС Оренбургская, 32,34,36,42
224;ул. Тихая, 1. Ремонт задвижки, Д=80. Без ХВС  ул.Садовая, Тихая, Станционная, Гусева. 40 частн.домов.
225;Аверьянова, 10 утечка из п/з, Д=300. Без ХВС  Аверьянова, 8 ( д/с №156)
226;ул. Победы 23 замена ПГ, без ХВС ул. Победы, Чкалова, 1, 2 пер. Советский.
227;ремонт пожарного гидранта, без ХВС Московское шоссе 1ж (корп. 1,2,3)
228;подготовка к санации , без ХВС Дворцовая 2б( религиоз. сооружен.)
229;Лесная быль утечка из п/з, Д=        Без ХВС 5-эт. жилое здание.
230;Ефремова, 93 утечка из п/з, Д=400. Без ХВС пр.Олимпийский 6,7,8а,10,Ефремова 58, Ефремова, 79 и 81( д/с №72 и 197)
231;Ср.Венец, 15 утечка из п/з, Д=150. Без ХВС Ср.Венец, 19, 17, 17а (котельная)
232;Р. Люксембург 3 утечка из-под земли д=150, без ХВС Р. Люксембург 1-5, Бакинская 22-28, 27-35.
233;замена теплообменника.отключение гвс
234;пр. Караганова / Полбина ремонт задвижки Д=150. Без ХВС пр. Караганова, 2, 4, Полбина, 25
235;Карсунская, 1 замена ввода, Д=63. Без ХВС Карсунская, 1, Железнодорожная, 45. 18-00 без ХВС Карсунская, 1
236;Самарская 5 утечка из-под земли д=100, без ХВС Самарская 5.
237;"Тихая 26-28-утечка из колодца Д=50, замена задвижки Д=50, санация трубы-15 метров; без ХВС ул. Тихая 26,26а,30,31,33-5 ч/д"
238;Ефремова 143 утечка из п/з Д=200, без ХВС Ефремова 149(5 эт.)
239;уи к-ца Д=100мм
240;Кадьяна 13 утечка из п/з Д=100, без ХВС Кадьяна 9,11,13, 11а (котельн.)
241;Бебеля 45 утечка из п/з Д=300, без ХВС ул. Бебеля (от Гончарова до Матросова). Знгельса (отГончарова до Матросова ), Ленина (от Гончарова  до Ж,Дивизии)
242;без хвс Кирова 2,6 (3 корпуса), Туб. дисп.,ч/д Кирова 1-49. На пониж. давл. Минаева 20-44
243;Р. Люксембург, 58 утечка из п/з, Д=100. Без ХВС Р. Люксембург, 58 ( д/с №128)
244;б-р Пластова, 13 утечка из п/з, Д=200. Без ХВС б-р Пластова, 13
245;"Р. Люксембург 5 утечка из п/з Д=200, без ХВС р. Люксембург 1,1а,5,5а,7,9,11,13,15;Бакинская 34-40(четн.)"
246;"Р. Люксембург 5 утечка из п/з Д=200, без ХВС р. Люксембург 1,1а,5,5а,7,9,11,13,15;Бакинская 34-40(четн.)"
247;п. Пригородный, ул. Новая, 14 утечка из п/з, Д=100. Без ХВС ул. Новая, 1-24, Молодежная, 13-42
248;"Вольная 1 утечка из п/з Д=100, без ХВС Вольная 1(котельн.), 2а(д/сад №43), 6 (школа №10); 1,2,3 пер. Бабушкина-50 ч/д"
249;Новосибирская 14 утечка из кол-ца Д=100, без ХВС Новосибирская , Дальняя, Луговая, Приречная-50 ч/д
250;Энгельса 12 утечка из п/з Д=100, без ХВС Энгельса 1-12(четн. и нечетн.)
251;г.Ульяновск, пос. Лениснкий, ул. Зеленая, д.14Е, 14Ж, 14И
252;из п\з д200. Без хвс Минаева 2-6, 8(д/с №ральн. собор, ч/д по ул.Ульяновской, Свияжской ,Доп закрыли :12 Сентября 81-91,Куйбышева 3,4,8-14,,Железнодорожная 1-3
254;с. Баратаевка, ул. Герасимова, 18а ремонт задвижки, Д=100. Без ХВС ул. Герасимова, Луговая.
